Date,Project A - name,Project A - duration,Project A - changes,Project A - fixes,Project B - name,Project B - duration,Project B - changes,Project B - fixes
2025-11-10,personal_data_tracking,150,Added Date Selector and Modified Code to Update .csvs if data already entered for that date. Add row if data not entered.,More Date Entry Field to Top Center.,,,,
2025-11-11,personal_data_tracking,300,Updated Date Entry Locations. Consolidated .csv data into one file for better analysis.,Bugs with data consolidation function.,,,,
2025-11-12,personal_data_tracking,300,"studied code, cleaned up data consolodation function",no issues,,,,
2025-11-13,personal_data_tracking,360,Added Visualizations. Pythonized Code. Updated Learning Window.,None,,,,
2025-11-14,personal_data_tracking,30,Added Daily Data,None,,,,
2025-11-15,personal_data_tracker,30,Added Data,None,knowledge_graph_builder,315,"Project Creating, Creating Repo, Basic Graph Building of Subject/Branch/Areas and Tree Branches/Connections using Streamlit",Module Importing Error
2025-11-16,personal_data_tracking,60,added monthly report,"missing data, old column names",,,,
2025-11-17,personal_data_tracking,45,added weekly and monthly visualizations,none,,,,
2025-11-18,personal_data_tracking,200,"added media pie charts, cleaned up media.csv data",media.csv data,,,,
2025-11-20,pandas_projects,60,implemented function for calculating character score,none,,,,
2025-11-21,pandas_projects,30,pulled in matchup data,name errors,,,,
2025-11-22,personal_data_tracking,130,entering in for days sick,none,,,,
2026-01-06,Personal Data Tracking,60,Work Time Wasn't Added. Needed to send the data to Delise.,Make Work Day More Like Other Windows,,,,
2026-01-07,Personal Data Tracking,90,Filling in Missing Data,Missing Data,Hobby Wheel,170,Created and Adjusted,Size Adjustments when Hobby is Picked
2026-01-08,Setup Work Laptop,120,"VS Code & Anaconda, Git",Personal Outlook Access,Personal Data Entry,90,Updated Consolidate.py,Counts Work Time Now
2026-01-09,pandas_projects,90,updating smash.py,more rounds,,,,
2026-01-10,Personal Data Tracking,60,Checking Visualizations,None,pandas_projects,180,Added Data and Fix,Fixing Score Calculator
2026-01-12,Personal Data Tracking,90,Lots of Data Entry,None,,,,
