Date,Chest - exercises,Chest - sets,Chest - rep_min,Chest - rep_max,Triceps - exercises,Triceps - sets,Triceps - rep_min,Triceps - rep_max,Back - exercises,Back - sets,Back - rep_min,Back - rep_max,Abs - exercises,Abs - sets,Abs - rep_min,Abs - rep_max,Shoulders - exercises,Shoulders - sets,Shoulders - rep_min,Shoulders - rep_max,Biceps - exercises,Biceps - sets,Biceps - rep_min,Biceps - rep_max,Legs - exercises,Legs - sets,Legs - rep_min,Legs - rep_max
2025-11-10,4,19,4,15,3,12,8,15,,,,,,,,,,,,,,,,,,,,
2025-11-11,,,,,,,,,5,25,5,15,1,2,6,8,,,,,,,,,,,,
2025-11-12,,,,,2,7,12,15,,,,,,,,,4,20,3,15,2,7,12,15,,,,
2025-11-14,4,19,4,15,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-16,,,,,,,,,6,32,3,15,,,,,,,,,,,,,1,1,8,8
2025-11-17,,,,,3,10,10,15,,,,,1,4,10,12,3,15,3,12,2,7,6,15,,,,
