Date,Song A - song,Song A - duration,Song A - rating,Song B - song,Song B - duration,Song B - rating,Song C - song,Song C - duration,Song C - rating,Song D - song,Song D - duration,Song D - rating,Song E - song,Song E - duration,Song E - rating,Song F - song,Song F - duration,Song F - rating
2025-11-11,Shake,120,7,,,,,,,,,,,,,,,
2025-11-12,Intro to Homewood,3,8,New Me,4,6,Week 8 Freestyle,4,8,Radical Acceptance,4,7,Shake,4,7,Outside Pt.1,20,8
2025-11-13,Outside Pt.1,60,9,,,,,,,,,,,,,,,
2025-11-14,Outside Pt. 1,20,9,Shake,5,7,Week 8 Freestyle,5,8,,,,,,,,,
2025-11-16,Outside Pt.2,95,8,Outside Pt.1,8,8,Shake,4,8,Week 8 Freestyle,4,9,New Me,6,7,,,
2025-11-18,Outside Pt.2,80,82,Last Day Freestyle,45,9,,,,,,,,,,,,
2025-11-19,Compiling,240,0,,,,,,,,,,,,,,,
2025-11-20,Outside Pt.1,10,8,Outside Pt.2,10,8,Week 8 Freestyle,10,9,Last Day Freestyle,90,9,,,,,,
2025-11-21,Last Day Freestyle,45,8,,,,,,,,,,,,,,,
