Date,Song A - song,Song A - duration,Song A - rating,Song B - song,Song B - duration,Song B - rating,Song C - song,Song C - duration,Song C - rating,Song D - song,Song D - duration,Song D - rating,Song E - song,Song E - duration,Song E - rating,Song F - song,Song F - duration,Song F - rating
2025-11-11,Shake,120,7,,,,,,,,,,,,,,,
2025-11-12,Intro to Homewood,3,8,New Me,4,6,Week 8 Freestyle,4,8,Radical Acceptance,4,7,Shake,4,7,Outside Pt.1,20,8
2025-11-13,Outside Pt.1,35,9,,,,,,,,,,,,,,,
