Date,Economics - duration,Economics - topic,Economics - concept,Psychology - duration,Psychology - topic,Psychology - concept,Mathematics - duration,Mathematics - topic,Mathematics - concept
2025-11-10,,,,60,Relapse Prevention,Planning,,,
2025-11-12,,,,,,,2,Operators,Tetration
